01	lɔŋɔ ɣnəsqa-fku ŋə ŋərə, 
\b	Il y a vingt ans,
02	tetɕʰaʑijermi, 010
\b	???
03	ŋaɲɟi jitʰa xə gə kə-vrə-sə ŋərə.
\b	Chez nous, on avait acheté un mdzo.
04	xə de, tʰaˠdʑi ŋɔma gə kə-vrə-sə ŋərə,
\b	Ce mdzo, on l'avait à un endroit vraiment loin (de chez nous),
05	sa ʁjikʰoˠ gə kə-vrə-sə ŋərə.
\b	on l'avait acheté à Gyukhog.
06	ʁjikʰoˠ gə kə-vrə rəge, xə de tɕʰəge əfkufkuma
\b	On l'avait acheté à Gyukhog, et ce mdzo, tous les ans,
07	pʰji-dʑə rə-vi-dʑə ʁjikʰoˠ ɔrɔ rə-vi-dʑə
\b	il fuyait et retournait à Gyukhog.
08	ŋaɲə ŋgra qʰi ndzɔ-ja mi-ŋi ŋərə 
\b	Il ne voulait pas rester chez nous.
09	tɕʰəge ndzɔ-ja ma-ŋi-rə, ɕa ɕə fɕi ŋərə,
\b	Il ne voulait pas rester chez nous, il il fallait aller le chercher.
10	sa ʁjikʰoˠ rɔ rə-vi fɕi ŋərə,
\b	Il fallait aller jusqu'à Gyukhog.
11	rkõtʰõ rə-vi-dʑə ɕa rə-vi fɕi ŋərə,
\b	Il fallait aller le chercher à pied.
12	tɕʰəge e-ndʐə ge,  ŋaɲɟi aʑɔ ŋa ɣni xə de ɕa rə-ɕã-sə ŋərə
\b	Une fois, je suis allé avec mon oncle pour chercher le mdzo.
13	xə de ɕa rə-ɕã-rəge, tɕʰəge tɕe nə kə-vi tɕʰa, ətɕəjərəmɔ
\b	Nous sommes allés le chercher, et en allant sur la route,
14	rdʑi tə-qe-dʑə kə-ɕã-sə ŋərə
\b	nous y allions en le pistant,
15	rdʑi tə-qe kə-ɕã rəge, tɕʰəge
\b	nous le pistions,
16	lõba nə  jəkʰa, ɔrɔ rə-ɕə rəge, ʁjikʰoˠ ŋipʰjoˠ rə-ɕə-sə rəge,
\b	depuis la vallée vers le nord, nous sommes allés en direction de Gyukhog.
